Step,Profit,Capital,Income,Wealth,Savings,Inflation,Interest,TaxRate,GovSpend,Loan,Wages,MPC,MPS
53,13511.1,166906,4473.63,38688.1,8070.07,4.32828,41,22.1838,20212.8,0.000508234,2026.67,0.86,0.14
54,14597.4,179314,4971.61,43659.7,8766.1,4.33171,42,22.212,21711.5,0.000278681,2189.62,0.87,0.13
55,15773.9,192722,5505.44,49165.1,9481.81,4.33508,43,22.2399,23332.7,0.000150024,2366.09,0.88,0.12
56,17046.6,207212,6074.06,55239.2,10210.7,4.33838,44,22.2675,25086.7,7.92624e-05,2556.98,0.89,0.11
57,18421.3,222870,6675.64,61914.8,10945,4.34161,45,22.2948,26984.6,4.10844e-05,2763.19,0.9,0.1
58,19904,239788,7307.47,69222.3,11675.8,4.34478,46,22.3219,29038.1,2.08845e-05,2985.59,0.91,0.0900005
59,21500.5,258063,7965.9,77188.2,12392.7,4.34788,47,22.3486,31259.6,1.04075e-05,3225.07,0.92,0.0800005
60,23216.4,277797,8646.26,85834.5,13084.4,4.35092,48,22.3751,33662.1,5.08231e-06,3482.46,0.93,0.0700005
61,25057.1,299096,9342.9,95177.4,13738.4,4.35391,49,22.4014,36259.5,2.43104e-06,3758.56,0.94,0.0600005
62,27027.6,322069,10049.1,105226,14341.4,4.35683,50,22.4274,39066,1.13854e-06,4054.15,0.95,0.0500005
63,29132.8,346832,10757.2,115984,14879.2,4.35969,51,22.4531,42096.8,5.21829e-07,4369.92,0.96,0.0400005
64,31377,373503,11458.6,127442,15337.6,4.3625,52,22.4786,45367.5,2.33954e-07,4706.55,0.969999,0.0300005
65,33764.3,402202,12144.1,139586,15701.9,4.36525,53,22.5038,48894,1.0255e-07,5064.65,0.979999,0.0200005
66,36298.4,433056,12803.6,152390,15958,4.36794,54,22.5288,52693.1,4.39254e-08,5444.76,0.989999,0.0100005
67,38982.9,466191,13427.1,165817,16092.3,4.37058,55,22.5535,56781.9,1.83755e-08,5847.44,0.999999,5.36442e-07
68,41821.1,501739,14004,179821,16092.3,4.37317,56,22.5779,61177.9,7.50332e-09,6273.17,1,0
69,44708.1,539741,14491.8,194313,16092.3,4.37571,57,22.6022,65899.1,2.98882e-09,6706.21,1,0
70,47760.5,580338,15113,209426,16092.3,4.37819,58,22.6261,70951.6,1.16066e-09,7164.08,1,0
71,51114.4,623785,15685.5,225111,16092.3,4.38063,59,22.6499,76354.8,4.39116e-10,7667.16,1,0
72,54596.2,670192,16339,241450,16092.3,4.38302,60,22.6734,82143.5,1.61741e-10,8189.43,1,0
73,58393.8,719826,17000.1,258450,16092.3,4.38536,61,22.6966,88332.8,5.79572e-11,8759.07,1,0
74,62396.1,772863,17708.5,276159,16092.3,4.38765,62,22.7197,94959.6,2.01884e-11,9359.41,1,0
75,66701,829559,18453.6,294613,16092.3,4.3899,63,22.7425,102048,6.83042e-12,10005.2,1,0
76,71284.3,890151,19238.4,313851,16092.3,4.3921,64,22.765,109632,2.24265e-12,10692.6,1,0
77,76184.1,954907,20071,333922,16092.3,4.39426,65,22.7874,117746,7.13912e-13,11427.6,1,0
78,81418,1.02411e+06,20948.4,354870,16092.3,4.39637,66,22.8095,126427,2.20123e-13,12212.7,1,0
79,87006.1,1.09807e+06,21879.1,376749,16092.3,4.39844,67,22.8314,135712,6.56699e-14,13050.9,1,0
80,92977.8,1.1771e+06,22863.1,399613,16092.3,4.40048,68,22.8531,145644,1.89348e-14,13946.7,1,0
81,99354.8,1.26155e+06,23906.5,423519,16092.3,4.40247,69,22.8746,156269,5.2702e-15,14903.2,1,0
82,106168,1.35179e+06,25012.3,448531,16092.3,4.40442,70,22.8958,167632,1.41417e-15,15925.3,1,0
83,113446,1.44822e+06,26185.4,474717,16092.3,4.40633,71,22.9169,179786,3.65327e-16,17017,1,0
84,121222,1.55126e+06,27430.5,502147,16092.3,4.4082,72,22.9377,192785,9.07229e-17,18183.3,1,0
85,129529,1.66136e+06,28752.5,530900,16092.3,4.41004,73,22.9583,206688,2.16223e-17,19429.4,1,0
86,138404,1.77901e+06,30157,561057,16092.3,4.41184,74,22.9788,221557,4.93709e-18,20760.7,1,0
87,147887,1.90471e+06,31649.7,592706,16092.3,4.4136,75,22.999,237459,1.07793e-18,22183.1,1,0
88,158019,2.03903e+06,33237,625943,16092.3,4.41533,76,23.019,254465,2.24569e-19,23702.9,1,0
89,168845,2.18254e+06,34925.4,660869,16092.3,4.41702,77,23.0388,272652,4.45395e-20,25326.7,1,0
90,180413,2.33589e+06,36722.1,697591,16092.3,4.41868,78,23.0584,292102,8.38828e-21,27061.9,1,0
91,192774,2.49975e+06,38634.8,736226,16092.3,4.42031,79,23.0778,312902,1.49591e-21,28916.1,1,0
92,205983,2.67484e+06,40671.7,776897,16092.3,4.4219,80,23.097,335146,2.51811e-22,30897.5,1,0
93,220099,2.86192e+06,42841.5,819739,16092.3,4.42346,81,23.1161,358934,3.98701e-23,33014.8,1,0
94,235184,3.06183e+06,45153.5,864892,16092.3,4.42499,82,23.1349,384373,5.91407e-24,35277.6,1,0
95,251305,3.27544e+06,47617.9,912510,16092.3,4.42649,83,23.1536,411578,8.18113e-25,37695.8,1,0
96,268535,3.50369e+06,50245.3,962755,16092.3,4.42796,84,23.172,440671,1.04991e-25,40280.2,1,0
97,286949,3.7476e+06,53047.3,1.0158e+06,16092.3,4.4294,85,23.1903,471784,1.2424e-26,43042.4,1,0
98,306630,4.00823e+06,56036.2,1.07184e+06,16092.3,4.43082,86,23.2084,505056,1.34593e-27,45994.5,1,0
99,327666,4.28675e+06,59225.2,1.13106e+06,16092.3,4.4322,87,23.2263,540638,1.3235e-28,49149.9,1,0
